sid,ticker,name,sector,subindustry,market_cap,last_price,pe,roe,pb,4w_return_pct,1d_return_pct
PNBG,PNBGILTS,Pnb Gilts Ltd,Financials,Investment Banking & Brokerage,1410.1993897559998,78.34,6.051319042893921,16.211703815009606,0.9126322739813609,-3.7118977384464062,-1.3474373504596313
BFIN,BFINVEST,BF Investment Ltd,Financials,Asset Management,1404.0608337,372.75,6.316347265733953,3.3934373800202566,0.20349032139642806,-11.016949152542368,1.0299498577042991
RISHA,RISHABH,Rishabh Instruments Ltd,Industrials,Electrical Components & Equipments,1396.8823704,363.0,61.69975134275642,3.843607286555848,2.2740157100996283,-6.043742720331311,4.355325571366961
SUIN,SUMEETINDS,Sumeet Industries Ltd,Consumer Discretionary,Textiles,1396.34202904,26.53,8.201715295389135,883.9563862928351,7.53923669909832,-13.27231121281464,-3.5272727272727233
HUHT,HUHTAMAKI,Huhtamaki India Ltd,Materials,Packaging,1395.871906122,184.83,15.867590157121784,7.505940674314512,1.1695127193012442,-11.636467944733937,-2.273568444984922
AMIC,AMIC,AMIC Forging Ltd,Industrials,Industrial Machinery,1393.210248525,1296.15,39.19016170253163,37.61904761904763,11.19943929682476,-14.87279843444227,1.682748882089907
RNB,RNBDENIMS,R & B Denims Ltd,Consumer Discretionary,Textiles,1389.54980736,154.44,62.47975752518002,11.705571199242055,6.936996691927514,18.362967504598416,1.571851364682661
EXI,EXICOM,Exicom Tele-Systems Ltd,Information Technology,Electronic Equipments,1385.790838244,99.64,-12.593519068011638,-16.48144265045082,2.257797318654892,-15.56647741716804,0.3929471032745598
EXPL,EXPLEOSOL,Expleo Solutions Ltd,Information Technology,Software Services,1384.20552141,891.9,13.407647437136754,16.558272319745967,2.176971441573351,-9.90909090909091,-1.659407905617737
ALLS,ALLDIGI,Alldigi Tech Ltd,Information Technology,IT Services & Consulting,1378.68754485,904.75,16.550870886554637,32.99336567977024,5.31306618694362,10.335365853658537,6.453700435345337
JNDR,JINDRILL,Jindal Drilling and Industries Ltd,Energy,Oil & Gas - Equipment & Services,1378.34130624,475.6,6.384461097040156,14.634576211441807,0.8678638120136004,-14.858575008950949,-9.69334472609892
SBC,SBC,SBC Exports Ltd,Consumer Discretionary,Apparel & Accessories,1371.90339,28.81,102.45731067961151,26.836356348331535,24.670084337349394,2.126905352711797,0.4182642035552368
ZPP,CROPSTER,Cropster Agro Ltd,Consumer Staples,Agro Products,1370.04,16.31,105.38769230769206,15.617491590581485,12.693783007504862,-15.838031778575088,-2.2768124625524417
IMPA,IMPAL,India Motor Parts & Accessories Ltd,Consumer Discretionary,Auto Parts,1363.6896,1092.7,16.29842954463967,3.877066367016898,0.607169075414741,5.269749518304436,0.49664306079279785
SSHA,SESHAPAPER,Seshasayee Paper and Boards Ltd,Materials,Paper Products,1362.5871647,216.05,12.481333376385434,5.59887786527717,0.685268137547777,-10.767388072030394,-2.653870415427587
TTKH,TTKHLTCARE,TTK Healthcare Ltd,Health Care,Pharmaceuticals,1357.64239464,960.8,16.62554977516532,7.905245477911102,1.2747217451199473,-7.792706333973133,-0.5177055290950507
