sid,ticker,name,sector,subindustry,market_cap,last_price,pe,roe,pb,4w_return_pct,1d_return_pct
SEZA,SEJALLTD,Sejal Glass Ltd,Industrials,Building Products - Glass,789.336,715.25,71.95405651777564,32.27419829361581,20.502233766233765,-18.629124004550626,3.300115540150206
BES,BESTAGRO,Best Agrolife Ltd,Materials,Diversified Chemicals,789.1431975,22.25,11.291217591930225,9.951445942674845,1.04162193938834,-17.746953590873733,0.0
ACCEN,ACCENTMIC,Accent Microcell Ltd,Health Care,Pharmaceuticals,787.9193619,338.85,23.8258047142425,18.44292008253863,4.044968231942091,1.1190689346463742,3.1663875780179738
ARL,ARL,Anand Rayons Ltd,Consumer Discretionary,Textiles,784.65457056,367.3,226.77877761849678,6.116856713515434,10.206224903225808,-18.404494382022467,-0.29858849077089195
SHRM,SHREERAMA,Shree Rama Multi-Tech Ltd,Materials,Plastic Products,784.3914653850001,59.72,15.27539367838364,37.86454300777939,4.876843231689879,2.190280629705683,1.6164709885996182
KINE,KINETICENG,Kinetic Engineering Ltd,Consumer Discretionary,Auto Parts,783.8611157199999,334.0,122.09674699688576,7.070095259071576,6.679116527948194,21.454545454545453,1.458080194410696
GANEC,GANESHCP,Ganesh Consumer Products Ltd,Consumer Staples,FMCG - Foods,783.3645452640001,199.22,22.11644678893278,15.80579664874274,3.4533792332216544,-13.382608695652173,2.775484936029713
INDOB,INDOBORAX,Indo Borax and Chemicals Ltd,Materials,Commodity Chemicals,781.87285,245.5,18.397008235294123,14.21434562228787,2.6647791486316077,-10.720779693068593,0.7592858608659939
INDOI,INDOFARM,Indo Farm Equipment Ltd,Industrials,Agricultural & Farm Machinery,778.0995588,160.25,33.04032096815283,5.551561155573372,1.4643823445939583,-14.547005812403349,-1.0374853331686573
BEEK,BEEKAY,Beekay Steel Industries Ltd,Materials,Iron & Steel,777.09075874,403.3,8.74905155077685,9.101295720382621,0.7676486799762915,-6.5245103720013855,-1.0185298809669843
XCHA,XCHANGING,Xchanging Solutions Ltd,Information Technology,IT Services & Consulting,776.149689372,71.4,15.654491516175877,13.915044694854128,2.1639660115761004,-12.489275646525305,2.4831347782402813
PVS,PVSL,Popular Vehicles and Services Ltd,Consumer Discretionary,Four Wheelers,774.351601448,111.59,-74.02978981337576,-1.6192827784788977,1.212254178261346,-11.40838361384566,2.6020595807282074
REMU,REMUS,Remus Pharmaceuticals Ltd,Health Care,Pharmaceuticals,771.852,677.5,26.551496388028767,12.700978678783704,2.7317359759334634,-7.546397379912658,3.435114503816794
MORGA,MORGANITE,Morganite Crucible (India) Ltd,Industrials,Industrial Machinery,765.688,1373.1,27.792667876588016,21.18497443192741,5.8107915306974265,-10.72171651495449,0.42419366634973704
SNDH,SANDESH,Sandesh Ltd,Communication Services,Publishing,765.2684631,1032.3,9.923086917790457,5.898414495170061,0.5655668192299165,-3.5233644859813125,2.1068249258160194
SUNSH,SUNSHIEL,Sunshield Chemicals Ltd,Materials,Specialty Chemicals,764.0513775,869.95,52.4040725308642,16.393073982460084,7.984652288640401,-5.951351351351346,0.13812949640288294
BPLP,BPLPHARMA,Bharat Parenterals Ltd,Health Care,Pharmaceuticals,762.9747639149999,1115.0,-60.4575882658479,-4.372985896947223,2.25066302039823,-5.508474576271187,0.7181247459464384
JAIA,JPASSOCIAT,Jaiprakash Associates Ltd,Industrials,Conglomerates,760.9246484,3.1,-0.27758714159075754,,-0.1395462278258159,-18.42105263157894,0.0
